neutral_id,question,ground_truth,model_response
R041,"Among movies released before 2010, use the rule runtime > subset mean runtime + 1 population standard deviation. Which movies are runtime outliers?","answer_text
Saving Private Ryan; The Lord of the Rings: The Fellowship of the Ring; The Lord of the Rings: The Two Towers","To identify the runtime outliers among movies released before 2010, we first list the runtimes of all movies with a release year < 2010:

1.  Princess Mononoke (1997): 133
2.  The Big Lebowski (1998): 117
3.  American History X (1998): 119
4.  Saving Private Ryan (1998): 169
5.  The Matrix (1999): 136
6.  Memento (2000): 113
7.  The Lord of the Rings: The Fellowship of the Ring (2001): 178
8.  Monsters Inc. (2001): 92
9.  Catch Me If You Can (2002): 141
10. The Lord of the Rings: The Two Towers (2002): 179
11. The Dark Knight (2008): 152
12. Inglourious Basterds (2009): 153

**Calculations:**
*   **Count (N):** 12
*   **Sum:** 133 + 117 + 119 + 169 + 136 + 113 + 178 + 92 + 141 + 179 + 152 + 153 = 1682
*   **Mean:** 1682 / 12 = 140.16666666666666...
*   **Variance (Population):**
    Sum of squared differences from the mean:
    (133-140.166...)^2 = 51.3611...
    (117-140.166...)^2 = 536.6944...
    (119-140.166...)^2 = 448.0277...
    (169-140.166...)^2 = 831.3611...
    (136-140.166...)^2 = 17.3611...
    (113-140.166...)^2 = 738.0277...
    (178-140.166...)^2 = 1431.3611...
    (92-140.166...)^2 = 2320.0277...
    (141-140.166...)^2 = 0.6944...
    (179-140.166...)^2 = 1508.0277...
    (152-140.166...)^2 = 140.0277...
    (153-140.166...)^2 = 164.6944...
    Sum = 8187.6666...
    Variance = 8187.6666... / 12 = 682.3055...
*   **Population Standard Deviation:** sqrt(682.3055...) = 26.120978...
*   **Threshold (Mean + 1 SD):** 140.1666... + 26.120978... = 166.2876...

**Outliers (Runtime > 166.2876...):**
*   Saving Private Ryan (169)
*   The Lord of the Rings: The Fellowship of the Ring (178)
*   The Lord of the Rings: The Two Towers (179)

Saving Private Ryan, The Lord of the Rings: The Fellowship of the Ring, The Lord of the Rings: The Two Towers"
R042,"Among movies released before 2010, use the rule runtime < subset mean runtime - 1 population standard deviation. Which movies are runtime outliers?","answer_text
Memento; Monsters Inc.","To identify the runtime outliers among movies released before 2010, we first list the runtimes of all movies released in 1997, 1998, 1999, 2000, 2001, 2002, 2008, and 2009:

1.  Princess Mononoke (1997): 133
2.  The Big Lebowski (1998): 117
3.  American History X (1998): 119
4.  Saving Private Ryan (1998): 169
5.  The Matrix (1999): 136
6.  Memento (2000): 113
7.  The Lord of the Rings: The Fellowship of the Ring (2001): 178
8.  Monsters Inc. (2001): 92
9.  Catch Me If You Can (2002): 141
10. The Lord of the Rings: The Two Towers (2002): 179
11. The Dark Knight (2008): 152
12. Inglourious Basterds (2009): 153

**Calculations:**
*   **Count (N):** 12
*   **Sum:** 133 + 117 + 119 + 169 + 136 + 113 + 178 + 92 + 141 + 179 + 152 + 153 = 1682
*   **Mean:** 1682 / 12 = 140.16666666666666666666666666667
*   **Variance (Population):**
    Sum of squared differences from mean:
    (133-140.166...)^2 = 51.3611...
    (117-140.166...)^2 = 536.6944...
    (119-140.166...)^2 = 448.0277...
    (169-140.166...)^2 = 831.3611...
    (136-140.166...)^2 = 17.3611...
    (113-140.166...)^2 = 738.0277...
    (178-140.166...)^2 = 1431.3611...
    (92-140.166...)^2 = 2319.6944...
    (141-140.166...)^2 = 0.6944...
    (179-140.166...)^2 = 1507.3611...
    (152-140.166...)^2 = 140.0277...
    (153-140.166...)^2 = 164.6944...
    Sum = 8246.6666666666666666666666666667
    Variance = 8246.6666666666666666666666666667 / 12 = 687.22222222222222222222222222222
*   **Standard Deviation (Population):** sqrt(687.222...) = 26.214923654913055555555555555556
*   **Threshold (Mean - 1 SD):** 140.166... - 26.2149... = 113.95174301175361111111111111111

Movies with runtime < 113.95174301175361111111111111111:
*   Memento (113)
*   Monsters Inc. (92)

Answer: Memento, Monsters Inc."
R043,"Among movies released in or after 2010, use the rule runtime > subset mean runtime + 1 population standard deviation. Which movies are runtime outliers?","answer_text
The Wolf of Wall Street; Interstellar","The movies released in or after 2010 are:
- Toy Story 3: 103 minutes
- How to Train Your Dragon: 98 minutes
- Black Swan: 108 minutes
- The Avengers: 143 minutes
- Life of Pi: 127 minutes
- The Wolf of Wall Street: 180 minutes
- Interstellar: 169 minutes
- Jurassic World: 124 minutes

1. **Subset Mean Runtime:** (103 + 98 + 108 + 143 + 127 + 180 + 169 + 124) / 8 = 1052 / 8 = 131.5
2. **Population Standard Deviation:**
   - Deviations from mean: (103-131.5)=-28.5, (98-131.5)=-33.5, (108-131.5)=-23.5, (143-131.5)=11.5, (127-131.5)=-4.5, (180-131.5)=48.5, (169-131.5)=37.5, (124-131.5)=-7.5
   - Squared deviations: 812.25, 1122.25, 552.25, 132.25, 20.25, 2352.25, 1406.25, 56.25
   - Sum of squared deviations: 6454
   - Variance: 6454 / 8 = 806.75
   - Population standard deviation: sqrt(806.75) ≈ 28.40334487
3. **Threshold:** 131.5 + 28.40334487 = 159.90334487
4. **Outliers (Runtime > 159.90334487):**
   - The Wolf of Wall Street (180)
   - Interstellar (169)

The Wolf of Wall Street, Interstellar"
R044,"Among movies released in or after 2010, use the rule runtime < subset mean runtime - 1 population standard deviation. Which movies are runtime outliers?","answer_text
Toy Story 3; How to Train Your Dragon","To identify the runtime outliers among movies released in or after 2010, we first list the runtimes of all movies released in 2010 or later:

1.  **Toy Story 3 (2010):** 103 minutes
2.  **How to Train Your Dragon (2010):** 98 minutes
3.  **Black Swan (2010):** 108 minutes
4.  **The Avengers (2012):** 143 minutes
5.  **Life of Pi (2012):** 127 minutes
6.  **The Wolf of Wall Street (2013):** 180 minutes
7.  **Interstellar (2014):** 169 minutes
8.  **Jurassic World (2015):** 124 minutes

**Calculations:**
*   **Subset:** {103, 98, 108, 143, 127, 180, 169, 124}
*   **Count (N):** 8
*   **Sum:** 103 + 98 + 108 + 143 + 127 + 180 + 169 + 124 = 1052
*   **Mean:** 1052 / 8 = 131.5
*   **Variance (Population):**
    *   (103 - 131.5)² = (-28.5)² = 812.25
    *   (98 - 131.5)² = (-33.5)² = 1122.25
    *   (108 - 131.5)² = (-23.5)² = 552.25
    *   (143 - 131.5)² = (11.5)² = 132.25
    *   (127 - 131.5)² = (-4.5)² = 20.25
    *   (180 - 131.5)² = (48.5)² = 2352.25
    *   (169 - 131.5)² = (37.5)² = 1406.25
    *   (124 - 131.5)² = (-7.5)² = 56.25
    *   Sum of squares = 6454
    *   Variance = 6454 / 8 = 806.75
*   **Population Standard Deviation (σ):** √806.75 ≈ 28.40334487
*   **Threshold:** Mean - σ = 131.5 - 28.40334487 = 103.09665513

**Outlier Check (Runtime < 103.09665513):**
*   Toy Story 3: 103 < 103.09665513 (Yes)
*   How to Train Your Dragon: 98 < 103.09665513 (Yes)
*   Black Swan: 108 (No)
*   The Avengers: 143 (No)
*   Life of Pi: 127 (No)
*   The Wolf of Wall Street: 180 (No)
*   Interstellar: 169 (No)
*   Jurassic World: 124 (No)

Toy Story 3, How to Train Your Dragon"
R045,"Among Action movies only, use the rule IMDb rating > Action-movie mean rating + 1 population standard deviation. Which movies are rating outliers?","answer_text
The Dark Knight","The Matrix, The Dark Knight"
R046,"Among movies released in or after 2010, what is the average IMDb rating? Round the answer to two decimal places.","answer_text
8.01",8.19
R047,"Among genres appearing in at least 4 movies, which genre has the lowest average IMDb rating? Round the average to two decimal places.","answer_text
Sci-Fi - 8.08",Comedy 8.10
R048,"Among movies released in or after 2000, use the rule runtime > subset mean runtime + 1 population standard deviation. Which movies are runtime outliers?","answer_text
The Lord of the Rings: The Fellowship of the Ring; The Lord of the Rings: The Two Towers; The Wolf of Wall Street; Interstellar","Saving Private Ryan, The Lord of the Rings: The Fellowship of the Ring, The Lord of the Rings: The Two Towers, The Wolf of Wall Street"
R049,What is the total runtime of all Adventure movies released in or after 2010?,"answer_text
621 minutes",103
R050,"Among genres appearing in at least 3 movies, which genre has the largest IMDb rating range, calculated as maximum rating minus minimum rating?","answer_text
Action - 2.2 rating points",Drama
R051,Consider only directors who directed more than one movie in the dataset. What is the average runtime of all movies directed by those repeated directors? Round to two decimal places.,"answer_text
157.29 minutes",140.00
R052,"Using the 1.5 × IQR rule for IMDb ratings, with Q1 and Q3 calculated as the medians of the lower and upper halves, which movie is a rating outlier?","answer_text
Jurassic World - 6.9",The Dark Knight
R053,What is the difference between the average IMDb rating of movies released before 2000 and movies released in or after 2000? Report both averages and the difference.,"answer_text
Before 2000: 8.44; 2000 or after: 8.26; Difference: 0.18",8.38 8.07 0.31
R054,"Among genres appearing in at least 3 movies, which genre has the highest total runtime across all its movies?","answer_text
Drama - 1608 minutes",Drama
R055,First calculate the overall mean runtime of all 20 movies. Then calculate the average IMDb rating of movies whose runtime is above that mean. Round the final rating to two decimal places.,"answer_text
8.53",143.5
R056,What is the total runtime of all movies released before 2000?,"answer_text
674 minutes",674
R057,What is the average runtime of movies released in or after 2010? Round the answer to two decimal places.,"answer_text
131.50 minutes",130.33
R058,What is the average IMDb rating of all movies directed by Christopher Nolan? Round the answer to two decimal places.,"answer_text
8.73",8.80
R059,"Among movies with runtime of at least 150 minutes, what is the average IMDb rating? Round the answer to two decimal places.","answer_text
8.67",8.68
R060,"Among movies with an IMDb rating of at least 8.5, what is the average runtime? Round the answer to two decimal places.","answer_text
157.43 minutes",143.50
R061,"Among genres appearing in at least 4 movies, which genre has the highest average IMDb rating? Round the average to two decimal places.","answer_text
Drama - 8.49",Drama 8.52
R062,"Among genres appearing in at least 4 movies, which genre has the lowest total runtime across all its movies? Report the genre and its total runtime in minutes.","answer_text
Animation - 426 minutes",Animation 342
R063,Which genre appears in the greatest number of movies in the dataset? Report the genre and the number of movies.,"answer_text
Drama - 11 movies",Drama; 10
R064,"Among genres appearing in at least 4 movies, which genre has the highest average runtime? Round the answer to two decimal places.","answer_text
Fantasy - 154.25 minutes",Drama; 143.00
R065,"Among genres appearing in at least 4 movies, which genre has the lowest average runtime? Round the answer to two decimal places.","answer_text
Animation - 106.50 minutes",Animation: 109.25
R066,"Among genres appearing in at least 4 movies, which genre has the highest proportion of its movies released in or after 2010? Report the genre and the percentage, rounded to two decimal places.","answer_text
Sci-Fi - 75.00%",Adventure; 100.00%
R067,"Among genres appearing in at least 4 movies, which genre contains the greatest number of movies with an IMDb rating of at least 8.5? Report the genre and the number of qualifying movies.","answer_text
Drama - 6 movies",Drama 3
R068,"Using all 20 movies, identify the movies whose runtime is greater than the mean runtime plus 1 population standard deviation. Calculate the mean and population standard deviation as intermediate steps. Return only the movie titles.","answer_text
Saving Private Ryan; The Lord of the Rings: The Fellowship of the Ring; The Lord of the Rings: The Two Towers; The Wolf of Wall Street; Interstellar","Saving Private Ryan, The Lord of the Rings: The Fellowship of the Ring, The Lord of the Rings: The Two Towers, The Wolf of Wall Street, Life of Pi"
R069,"Using all 20 movies, identify the movies whose runtime is less than the mean runtime minus 1 population standard deviation. Calculate the mean and population standard deviation as intermediate steps. Return only the movie titles.","answer_text
Monsters Inc.; Toy Story 3; How to Train Your Dragon; Black Swan","Memento
Monsters Inc.
Toy Story 3
Black Swan
Jurassic World"
R070,"Using all 20 movies, identify the movies whose IMDb rating is greater than the mean IMDb rating plus 1 population standard deviation. Calculate the mean and population standard deviation as intermediate steps. Return only the movie titles.","answer_text
The Lord of the Rings: The Fellowship of the Ring; The Lord of the Rings: The Two Towers; The Dark Knight","American History X, The Dark Knight, The Lord of the Rings: The Fellowship of the Ring, The Lord of the Rings: The Two Towers, Saving Private Ryan, The Matrix"
R071,"Among Adventure movies only, which movies have runtime greater than the Adventure-movie mean runtime + 1 population standard deviation?","answer_text
The Lord of the Rings: The Fellowship of the Ring; The Lord of the Rings: The Two Towers; Interstellar","The Lord of the Rings: The Fellowship of the Ring, The Lord of the Rings: The Two Towers, The Wolf of Wall Street, Life of Pi, Interstellar"
R072,"Among Adventure movies only, which movies have runtime less than the Adventure-movie mean runtime - 1 population standard deviation?","answer_text
Monsters Inc.; Toy Story 3; How to Train Your Dragon",Monsters Inc.; Toy Story 3
R073,"Among Drama movies only, which movies have runtime greater than the Drama-movie mean runtime + 1 population standard deviation?","answer_text
The Lord of the Rings: The Fellowship of the Ring; The Lord of the Rings: The Two Towers",Saving Private Ryan
R074,"Among Action movies only, which movies have runtime greater than the Action-movie mean runtime + 1 population standard deviation?","answer_text
The Dark Knight","The Matrix, The Lord of the Rings: The Fellowship of the Ring, The Lord of the Rings: The Two Towers, The Dark Knight, The Wolf of Wall Street, Life of Pi"
R075,"Among Action movies only, which movies have runtime less than the Action-movie mean runtime - 1 population standard deviation?","answer_text
How to Train Your Dragon",The Matrix; Monsters Inc.; Toy Story 3
R076,What is the total runtime of all movies with an IMDb rating of at least 8.5?,"answer_text
1102 minutes",497
R077,"What is the difference between the average runtime of movies released before 2010 and movies released in or after 2010? Report both averages and the difference, rounded to two decimal places.","answer_text
Before 2010: 140.17 minutes; 2010 or after: 131.50 minutes; Difference: 8.67 minutes","Before 2010 average runtime: 143.89
After 2010 average runtime: 136.88
Difference: 7.01"
R078,"Among movies with runtime less than 120 minutes, what is the average IMDb rating? Round the answer to two decimal places.","answer_text
8.21",8.16
R079,"Among movies with IMDb ratings from 8.0 through 8.4 inclusive, what is the average runtime? Round the answer to two decimal places.","answer_text
125.55 minutes",117.00
R080,What is the total runtime of all movies directed by Christopher Nolan?,"answer_text
434 minutes",285
R081,"Among genres appearing in at least 4 movies, which genre has the largest runtime range, calculated as maximum runtime minus minimum runtime? Report the genre and its runtime range in minutes.","answer_text
Comedy - 88 minutes",Drama 71
R082,"Among genres appearing in at least 4 movies, which genre has the highest average release year? Round the average year to two decimal places.","answer_text
Sci-Fi - 2010.00",Drama; 1998.00
R083,"Among genres appearing in at least 4 movies, which genre contains the greatest number of movies released in or after 2010? Report the genre and the number of qualifying movies.","answer_text
Adventure - 5 movies",Drama 6
R084,"Among genres appearing in exactly 4 movies, which genre has the highest total runtime? Report the genre and its total runtime in minutes.","answer_text
Fantasy - 617 minutes",Drama; 709
R085,"Compare Drama and Adventure movies. Which genre has the higher average IMDb rating, and what is the difference between their averages? Round averages and the difference to two decimal places.","answer_text
Drama - 8.49; Adventure - 8.24; Difference: 0.25","Drama: 8.45
Adventure: 8.53
Difference: 0.08"
R086,"Among movies released before 2010, use the rule runtime > subset mean runtime + 1 population standard deviation. Which movies are runtime outliers?","answer_text
Saving Private Ryan; The Lord of the Rings: The Fellowship of the Ring; The Lord of the Rings: The Two Towers",Saving Private Ryan; The Lord of the Rings: The Fellowship of the Ring; The Lord of the Rings: The Two Towers; The Wolf of Wall Street
R087,"Among movies released before 2010, use the rule runtime < subset mean runtime - 1 population standard deviation. Which movies are runtime outliers?","answer_text
Memento; Monsters Inc.",Saving Private Ryan
R088,"Among movies released in or after 2010, use the rule runtime > subset mean runtime + 1 population standard deviation. Which movies are runtime outliers?","answer_text
The Wolf of Wall Street; Interstellar","Saving Private Ryan, The Lord of the Rings: The Fellowship of the Ring, The Lord of the Rings: The Two Towers, The Wolf of Wall Street"
R089,"Among movies released in or after 2010, use the rule runtime < subset mean runtime - 1 population standard deviation. Which movies are runtime outliers?","answer_text
Toy Story 3; How to Train Your Dragon",Monsters Inc.
R090,"Among Action movies only, use the rule IMDb rating > Action-movie mean rating + 1 population standard deviation. Which movies are rating outliers?","answer_text
The Dark Knight",The Dark Knight
